Panjang HURI;HURI;Diagnosis;Utilitas;Support
2;BMI_Obesitas, Perempuan;tidak berpotensi memiliki penyakit kardiovaskular;37990,52;50
2;Perempuan, Prahipertensi;tidak berpotensi memiliki penyakit kardiovaskular;70360,73;32
2;Perempuan, Aktif berkegiatan fisik;tidak berpotensi memiliki penyakit kardiovaskular;66231,54;32
2;Perempuan, Glukosa normal;tidak berpotensi memiliki penyakit kardiovaskular;54986,32;32
2;Prahipertensi, Glukosa normal;berpotensi memiliki penyakit kardiovaskular;53552,86;32
2;Prahipertensi, Bukan perokok aktif;berpotensi memiliki penyakit kardiovaskular;46914,46;32
2;Laki-Laki, Prahipertensi;tidak berpotensi memiliki penyakit kardiovaskular;44317,47;32
2;Laki-Laki, Aktif berkegiatan fisik;tidak berpotensi memiliki penyakit kardiovaskular;37641,28;32
2;Laki-Laki, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;35001;32
2;Laki-Laki, Kolestrol normal;tidak berpotensi memiliki penyakit kardiovaskular;31808;32
2;Perempuan, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;26202,62;32
2;Prahipertensi, Aktif berkegiatan fisik;berpotensi memiliki penyakit kardiovaskular;51861,74;31
3;BMI_Obesitas, Perempuan, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;37402,15;31
3;Umur sekitar 51-58 tahun, Prahipertensi, Bukan peminum alkohol;berpotensi memiliki penyakit kardiovaskular;35636,76;31
2;Prahipertensi, Bukan peminum alkohol;berpotensi memiliki penyakit kardiovaskular;34011,08;31
3;BMI_Obesitas, Prahipertensi, Bukan peminum alkohol;berpotensi memiliki penyakit kardiovaskular;33582,67;31
3;BMI_Obesitas, Prahipertensi, Bukan perokok aktif;berpotensi memiliki penyakit kardiovaskular;32437,55;31
3;Umur sekitar 51-58 tahun, Prahipertensi, Glukosa normal;berpotensi memiliki penyakit kardiovaskular;31735,82;31
3;BMI_Obesitas, Prahipertensi, Glukosa normal;berpotensi memiliki penyakit kardiovaskular;30329,13;31
3;Umur sekitar 51-58 tahun, Prahipertensi, Aktif berkegiatan fisik;berpotensi memiliki penyakit kardiovaskular;28718,7;31
2;Perempuan, Kolestrol normal;tidak berpotensi memiliki penyakit kardiovaskular;66114,44;30
2;Prahipertensi, Kolestrol normal;berpotensi memiliki penyakit kardiovaskular;57156,25;30
2;Perempuan, Bukan peminum alkohol;tidak berpotensi memiliki penyakit kardiovaskular;43514,86;30
3;Umur sekitar 55-63 tahun, Prahipertensi, Bukan perokok aktif;berpotensi memiliki penyakit kardiovaskular;31026,84;30
2;Prahipertensi, Perempuan;berpotensi memiliki penyakit kardiovaskular;55589,42;29
3;Umur sekitar 51-58 tahun, Perempuan, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;42843,2;29
3;Umur sekitar 51-58 tahun, Perempuan, Bukan peminum alkohol;tidak berpotensi memiliki penyakit kardiovaskular;42688,05;29
3;Umur sekitar 51-58 tahun, Prahipertensi, Bukan perokok aktif;berpotensi memiliki penyakit kardiovaskular;34672,52;29
3;Umur sekitar 55-63 tahun, Prahipertensi, Bukan peminum alkohol;berpotensi memiliki penyakit kardiovaskular;31570,84;29
3;BMI_Obesitas, Perempuan, Aktif berkegiatan fisik;tidak berpotensi memiliki penyakit kardiovaskular;31385,02;29
3;Umur sekitar 55-63 tahun, Perempuan, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;27394,53;29
3;BMI_Obesitas, Perempuan, Bukan peminum alkohol;tidak berpotensi memiliki penyakit kardiovaskular;37100,41;28
3;BMI_Obesitas, Perempuan, Glukosa normal;tidak berpotensi memiliki penyakit kardiovaskular;34547,85;28
3;BMI_Obesitas, Perempuan, Kolestrol normal;tidak berpotensi memiliki penyakit kardiovaskular;33038,34;28
3;Umur sekitar 51-58 tahun, Perempuan, Glukosa normal;tidak berpotensi memiliki penyakit kardiovaskular;39052,69;27
3;Umur sekitar 51-58 tahun, Perempuan, Aktif berkegiatan fisik;tidak berpotensi memiliki penyakit kardiovaskular;35427,13;26
3;Umur sekitar 51-58 tahun, Perempuan, Prahipertensi;tidak berpotensi memiliki penyakit kardiovaskular;32720,68;25
3;BMI_Overweight, Perempuan, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;25953,5;25
3;BMI_Obesitas, Perempuan, Prahipertensi;tidak berpotensi memiliki penyakit kardiovaskular;28285,22;24
3;BMI_Overweight, Perempuan, Bukan peminum alkohol;tidak berpotensi memiliki penyakit kardiovaskular;25967,76;24
3;Umur sekitar 51-58 tahun, Perempuan, Kolestrol normal;tidak berpotensi memiliki penyakit kardiovaskular;36734,93;23
3;Umur sekitar 55-63 tahun, Perempuan, Bukan peminum alkohol;tidak berpotensi memiliki penyakit kardiovaskular;27208,84;23
2;Prahipertensi, Kolestrol normal;tidak berpotensi memiliki penyakit kardiovaskular;85824,36;16
2;Prahipertensi, Aktif berkegiatan fisik;tidak berpotensi memiliki penyakit kardiovaskular;83847,84;16
2;Prahipertensi, Glukosa normal;tidak berpotensi memiliki penyakit kardiovaskular;72696,14;16
3;Perempuan, Prahipertensi, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;69375,39;16
3;Perempuan, Prahipertensi, Bukan peminum alkohol;tidak berpotensi memiliki penyakit kardiovaskular;68915,98;16
3;Perempuan, Prahipertensi, Glukosa normal;tidak berpotensi memiliki penyakit kardiovaskular;64138,57;16
3;Perempuan, Prahipertensi, Kolestrol normal;tidak berpotensi memiliki penyakit kardiovaskular;61612,75;16
2;Prahipertensi, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;58268,27;16
3;Perempuan, Prahipertensi, Aktif berkegiatan fisik;tidak berpotensi memiliki penyakit kardiovaskular;57804,73;16
3;Prahipertensi, Perempuan, Bukan perokok aktif;berpotensi memiliki penyakit kardiovaskular;54887,9;16
2;Perempuan, Kolestrol normal;berpotensi memiliki penyakit kardiovaskular;53353,1;16
2;Perempuan, Aktif berkegiatan fisik;berpotensi memiliki penyakit kardiovaskular;50553,1;16
2;Perempuan, Glukosa normal;berpotensi memiliki penyakit kardiovaskular;50059,64;16
3;Prahipertensi, Perempuan, Glukosa normal;berpotensi memiliki penyakit kardiovaskular;47687,93;16
3;Umur sekitar 51-58 tahun, Prahipertensi, Bukan peminum alkohol;tidak berpotensi memiliki penyakit kardiovaskular;44755,52;16
2;Perempuan, Bukan peminum alkohol;berpotensi memiliki penyakit kardiovaskular;43019,86;16
2;Prahipertensi, Bukan peminum alkohol;tidak berpotensi memiliki penyakit kardiovaskular;42651,25;16
3;Umur sekitar 51-58 tahun, Prahipertensi, Glukosa normal;tidak berpotensi memiliki penyakit kardiovaskular;42282,04;16
3;BMI_Obesitas, Prahipertensi, Bukan peminum alkohol;tidak berpotensi memiliki penyakit kardiovaskular;41183,48;16
3;Laki-Laki, Prahipertensi, Glukosa normal;tidak berpotensi memiliki penyakit kardiovaskular;40666,47;16
3;Laki-Laki, Prahipertensi, Bukan peminum alkohol;tidak berpotensi memiliki penyakit kardiovaskular;40606,95;16
3;Laki-Laki, Prahipertensi, Kolestrol normal;tidak berpotensi memiliki penyakit kardiovaskular;39870,83;16
3;BMI_Obesitas, Prahipertensi, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;39688,27;16
3;BMI_Obesitas, Prahipertensi, Glukosa normal;tidak berpotensi memiliki penyakit kardiovaskular;39653,42;16
3;Umur sekitar 51-58 tahun, Prahipertensi, Aktif berkegiatan fisik;tidak berpotensi memiliki penyakit kardiovaskular;38336,52;16
3;Umur sekitar 51-58 tahun, Perempuan, Bukan perokok aktif;berpotensi memiliki penyakit kardiovaskular;37674,72;16
3;Umur sekitar 51-58 tahun, Perempuan, Bukan peminum alkohol;berpotensi memiliki penyakit kardiovaskular;37422,27;16
3;Laki-Laki, Prahipertensi, Aktif berkegiatan fisik;tidak berpotensi memiliki penyakit kardiovaskular;36758,05;16
3;Laki-Laki, Prahipertensi, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;35998,5;16
3;BMI_Obesitas, Prahipertensi, Aktif berkegiatan fisik;tidak berpotensi memiliki penyakit kardiovaskular;35775,25;16
3;Hipertensi tingkat 1, Perempuan, Bukan perokok aktif;berpotensi memiliki penyakit kardiovaskular;35004,18;16
3;Hipertensi tingkat 1, Perempuan, Bukan peminum alkohol;berpotensi memiliki penyakit kardiovaskular;34786,72;16
3;Umur sekitar 51-58 tahun, Perempuan, Glukosa normal;berpotensi memiliki penyakit kardiovaskular;32566,53;16
4;Umur sekitar 51-58 tahun, Perempuan, Prahipertensi, Bukan peminum alkohol;tidak berpotensi memiliki penyakit kardiovaskular;32095,78;16
3;Umur sekitar 51-58 tahun, Perempuan, Aktif berkegiatan fisik;berpotensi memiliki penyakit kardiovaskular;30612,2;16
3;Umur sekitar 55-63 tahun, Kolestrol normal, Bukan perokok aktif;berpotensi memiliki penyakit kardiovaskular;30548,96;16
3;Umur sekitar 55-63 tahun, Kolestrol normal, Glukosa normal;berpotensi memiliki penyakit kardiovaskular;29938,68;16
3;BMI_Obesitas, Perempuan, Bukan perokok aktif;berpotensi memiliki penyakit kardiovaskular;29857,94;16
3;BMI_Obesitas, Perempuan, Bukan peminum alkohol;berpotensi memiliki penyakit kardiovaskular;29759,58;16
3;BMI_Overweight, Prahipertensi, Bukan peminum alkohol;tidak berpotensi memiliki penyakit kardiovaskular;29546,17;16
3;Laki-Laki, Prahipertensi, Bukan peminum alkohol;berpotensi memiliki penyakit kardiovaskular;29123,14;16
3;Hipertensi tingkat 1, Perempuan, Aktif berkegiatan fisik;berpotensi memiliki penyakit kardiovaskular;28978,33;16
3;BMI_Overweight, Prahipertensi, Glukosa normal;tidak berpotensi memiliki penyakit kardiovaskular;28510,35;16
3;Umur sekitar 55-63 tahun, Prahipertensi, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;28120,36;16
3;Umur sekitar 55-63 tahun, Prahipertensi, Glukosa normal;tidak berpotensi memiliki penyakit kardiovaskular;26395;16
3;Prahipertensi, Perempuan, Bukan peminum alkohol;berpotensi memiliki penyakit kardiovaskular;54535,34;15
3;Prahipertensi, Perempuan, Aktif berkegiatan fisik;berpotensi memiliki penyakit kardiovaskular;43659,17;15
3;Umur sekitar 51-58 tahun, Prahipertensi, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;43094,16;15
3;Umur sekitar 51-58 tahun, Prahipertensi, Kolestrol normal;tidak berpotensi memiliki penyakit kardiovaskular;40631,32;15
3;BMI_Obesitas, Prahipertensi, Kolestrol normal;tidak berpotensi memiliki penyakit kardiovaskular;38408,8;15
3;Umur sekitar 55-63 tahun, Kolestrol normal, Bukan peminum alkohol;berpotensi memiliki penyakit kardiovaskular;31190,15;15
3;Hipertensi tingkat 1, Perempuan, Glukosa normal;berpotensi memiliki penyakit kardiovaskular;29745,41;15
3;Umur sekitar 55-63 tahun, Prahipertensi, Bukan peminum alkohol;tidak berpotensi memiliki penyakit kardiovaskular;28554,84;15
4;BMI_Obesitas, Perempuan, Prahipertensi, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;27870,54;15
3;Prahipertensi, Perempuan, Kolestrol normal;berpotensi memiliki penyakit kardiovaskular;40261,83;14
4;Umur sekitar 51-58 tahun, Perempuan, Prahipertensi, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;32209,22;14
4;Umur sekitar 51-58 tahun, Perempuan, Prahipertensi, Glukosa normal;tidak berpotensi memiliki penyakit kardiovaskular;29447,6;14
3;BMI_Overweight, Prahipertensi, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;28497,84;14
3;BMI_Overweight, Prahipertensi, Kolestrol normal;tidak berpotensi memiliki penyakit kardiovaskular;28041,57;14
4;BMI_Obesitas, Perempuan, Prahipertensi, Bukan peminum alkohol;tidak berpotensi memiliki penyakit kardiovaskular;27636,77;14
4;Umur sekitar 51-58 tahun, Perempuan, Prahipertensi, Aktif berkegiatan fisik;tidak berpotensi memiliki penyakit kardiovaskular;26646,68;14
4;Umur sekitar 51-58 tahun, Perempuan, Prahipertensi, Kolestrol normal;tidak berpotensi memiliki penyakit kardiovaskular;28084,9;12
3;Prahipertensi, Aktif berkegiatan fisik, Bukan peminum alkohol;tidak berpotensi memiliki penyakit kardiovaskular;80203,43;8
2;Aktif berkegiatan fisik, Kolestrol normal;tidak berpotensi memiliki penyakit kardiovaskular;78935,76;8
3;Prahipertensi, Aktif berkegiatan fisik, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;77322,93;8
3;Prahipertensi, Aktif berkegiatan fisik, Glukosa normal;tidak berpotensi memiliki penyakit kardiovaskular;76978,41;8
3;Prahipertensi, Aktif berkegiatan fisik, Kolestrol normal;tidak berpotensi memiliki penyakit kardiovaskular;74455,39;8
2;Kolestrol normal, Glukosa normal;berpotensi memiliki penyakit kardiovaskular;65644;8
3;Perempuan, Aktif berkegiatan fisik, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;65326,7;8
3;Perempuan, Aktif berkegiatan fisik, Bukan peminum alkohol;tidak berpotensi memiliki penyakit kardiovaskular;64940,98;8
2;Aktif berkegiatan fisik, Glukosa normal;tidak berpotensi memiliki penyakit kardiovaskular;64139,52;8
3;Perempuan, Aktif berkegiatan fisik, Glukosa normal;tidak berpotensi memiliki penyakit kardiovaskular;60707,64;8
2;Kolestrol normal, Aktif berkegiatan fisik;berpotensi memiliki penyakit kardiovaskular;59041,2;8
3;Perempuan, Aktif berkegiatan fisik, Kolestrol normal;tidak berpotensi memiliki penyakit kardiovaskular;57881,38;8
4;Perempuan, Prahipertensi, Aktif berkegiatan fisik, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;56999,2;8
4;Perempuan, Prahipertensi, Aktif berkegiatan fisik, Bukan peminum alkohol;tidak berpotensi memiliki penyakit kardiovaskular;56600,04;8
3;Prahipertensi, Kolestrol normal, Bukan peminum alkohol;berpotensi memiliki penyakit kardiovaskular;55591,66;8
3;Prahipertensi, Kolestrol normal, Bukan perokok aktif;berpotensi memiliki penyakit kardiovaskular;54031,36;8
3;Prahipertensi, Kolestrol normal, Glukosa normal;berpotensi memiliki penyakit kardiovaskular;53619,46;8
3;Perempuan, Kolestrol normal, Bukan perokok aktif;berpotensi memiliki penyakit kardiovaskular;52786,48;8
4;Perempuan, Prahipertensi, Aktif berkegiatan fisik, Glukosa normal;tidak berpotensi memiliki penyakit kardiovaskular;52771,63;8
3;Perempuan, Kolestrol normal, Bukan peminum alkohol;berpotensi memiliki penyakit kardiovaskular;52562,46;8
4;Perempuan, Prahipertensi, Aktif berkegiatan fisik, Kolestrol normal;tidak berpotensi memiliki penyakit kardiovaskular;50656,81;8
2;Kolestrol normal, Bukan perokok aktif;berpotensi memiliki penyakit kardiovaskular;50412;8
3;Perempuan, Kolestrol normal, Glukosa normal;berpotensi memiliki penyakit kardiovaskular;49950,1;8
2;Aktif berkegiatan fisik, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;47323,4;8
3;Prahipertensi, Kolestrol normal, Aktif berkegiatan fisik;berpotensi memiliki penyakit kardiovaskular;44213,16;8
3;Perempuan, Kolestrol normal, Aktif berkegiatan fisik;berpotensi memiliki penyakit kardiovaskular;42378,52;8
3;Umur sekitar 51-58 tahun, Aktif berkegiatan fisik, Bukan peminum alkohol;tidak berpotensi memiliki penyakit kardiovaskular;41762,15;8
3;Umur sekitar 51-58 tahun, Aktif berkegiatan fisik, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;40181,88;8
4;Prahipertensi, Perempuan, Kolestrol normal, Bukan perokok aktif;berpotensi memiliki penyakit kardiovaskular;39837,43;8
3;Umur sekitar 51-58 tahun, Aktif berkegiatan fisik, Glukosa normal;tidak berpotensi memiliki penyakit kardiovaskular;39525;8
4;Prahipertensi, Perempuan, Kolestrol normal, Glukosa normal;berpotensi memiliki penyakit kardiovaskular;37734,41;8
3;Umur sekitar 51-58 tahun, Aktif berkegiatan fisik, Kolestrol normal;tidak berpotensi memiliki penyakit kardiovaskular;37425,35;8
3;Umur sekitar 51-58 tahun, Kolestrol normal, Bukan peminum alkohol;berpotensi memiliki penyakit kardiovaskular;36888,96;8
4;Umur sekitar 51-58 tahun, Prahipertensi, Aktif berkegiatan fisik, Bukan peminum alkohol;tidak berpotensi memiliki penyakit kardiovaskular;36589,64;8
3;BMI_Obesitas, Aktif berkegiatan fisik, Bukan peminum alkohol;tidak berpotensi memiliki penyakit kardiovaskular;36223,68;8
3;Umur sekitar 51-58 tahun, Kolestrol normal, Bukan perokok aktif;berpotensi memiliki penyakit kardiovaskular;35823,81;8
3;Umur sekitar 51-58 tahun, Kolestrol normal, Glukosa normal;berpotensi memiliki penyakit kardiovaskular;35807,75;8
4;Umur sekitar 51-58 tahun, Prahipertensi, Aktif berkegiatan fisik, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;35197,48;8
2;Kolestrol normal, Bukan peminum alkohol;berpotensi memiliki penyakit kardiovaskular;35190;8
3;BMI_Obesitas, Aktif berkegiatan fisik, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;35019,88;8
4;Umur sekitar 51-58 tahun, Perempuan, Aktif berkegiatan fisik, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;34873,35;8
3;BMI_Obesitas, Aktif berkegiatan fisik, Glukosa normal;tidak berpotensi memiliki penyakit kardiovaskular;34837,4;8
4;Umur sekitar 51-58 tahun, Prahipertensi, Aktif berkegiatan fisik, Glukosa normal;tidak berpotensi memiliki penyakit kardiovaskular;34783,4;8
4;Laki-Laki, Prahipertensi, Bukan perokok aktif, Bukan peminum alkohol;tidak berpotensi memiliki penyakit kardiovaskular;34759,32;8
4;Umur sekitar 51-58 tahun, Perempuan, Aktif berkegiatan fisik, Bukan peminum alkohol;tidak berpotensi memiliki penyakit kardiovaskular;34740,66;8
3;Laki-Laki, Aktif berkegiatan fisik, Glukosa normal;tidak berpotensi memiliki penyakit kardiovaskular;34604,36;8
3;Laki-Laki, Aktif berkegiatan fisik, Bukan peminum alkohol;tidak berpotensi memiliki penyakit kardiovaskular;34468,32;8
4;BMI_Obesitas, Prahipertensi, Aktif berkegiatan fisik, Bukan peminum alkohol;tidak berpotensi memiliki penyakit kardiovaskular;33936,25;8
3;Laki-Laki, Aktif berkegiatan fisik, Kolestrol normal;tidak berpotensi memiliki penyakit kardiovaskular;33584,04;8
3;BMI_Obesitas, Aktif berkegiatan fisik, Kolestrol normal;tidak berpotensi memiliki penyakit kardiovaskular;33332,68;8
3;Hipertensi tingkat 1, Kolestrol normal, Bukan peminum alkohol;berpotensi memiliki penyakit kardiovaskular;33282,55;8
4;Umur sekitar 51-58 tahun, Prahipertensi, Aktif berkegiatan fisik, Kolestrol normal;tidak berpotensi memiliki penyakit kardiovaskular;33277,28;8
4;Laki-Laki, Prahipertensi, Bukan perokok aktif, Glukosa normal;tidak berpotensi memiliki penyakit kardiovaskular;33053,41;8
4;BMI_Obesitas, Prahipertensi, Aktif berkegiatan fisik, Glukosa normal;tidak berpotensi memiliki penyakit kardiovaskular;32784,5;8
3;Laki-Laki, Aktif berkegiatan fisik, Bukan peminum alkohol;berpotensi memiliki penyakit kardiovaskular;32710,44;8
4;BMI_Obesitas, Prahipertensi, Aktif berkegiatan fisik, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;32659,75;8
4;Laki-Laki, Prahipertensi, Bukan perokok aktif, Kolestrol normal;tidak berpotensi memiliki penyakit kardiovaskular;32559,54;8
3;Hipertensi tingkat 1, Kolestrol normal, Glukosa normal;berpotensi memiliki penyakit kardiovaskular;32343,93;8
3;BMI_Obesitas, Kolestrol normal, Bukan peminum alkohol;berpotensi memiliki penyakit kardiovaskular;32065,12;8
3;Hipertensi tingkat 1, Kolestrol normal, Bukan perokok aktif;berpotensi memiliki penyakit kardiovaskular;32038,28;8
4;Umur sekitar 51-58 tahun, Perempuan, Aktif berkegiatan fisik, Glukosa normal;tidak berpotensi memiliki penyakit kardiovaskular;31886,46;8
4;BMI_Obesitas, Prahipertensi, Aktif berkegiatan fisik, Kolestrol normal;tidak berpotensi memiliki penyakit kardiovaskular;31580,5;8
3;BMI_Obesitas, Kolestrol normal, Glukosa normal;berpotensi memiliki penyakit kardiovaskular;31137,52;8
4;BMI_Obesitas, Perempuan, Aktif berkegiatan fisik, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;30934,14;8
3;BMI_Obesitas, Kolestrol normal, Bukan perokok aktif;berpotensi memiliki penyakit kardiovaskular;30891,24;8
3;Laki-Laki, Aktif berkegiatan fisik, Glukosa normal;berpotensi memiliki penyakit kardiovaskular;30791,24;8
4;BMI_Obesitas, Perempuan, Aktif berkegiatan fisik, Bukan peminum alkohol;tidak berpotensi memiliki penyakit kardiovaskular;30667,86;8
3;Laki-Laki, Aktif berkegiatan fisik, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;30425,6;8
3;Umur sekitar 51-58 tahun, Kolestrol normal, Aktif berkegiatan fisik;berpotensi memiliki penyakit kardiovaskular;30223,69;8
