Panjang HURI;HURI;Diagnosis;Utilitas;Support
2;Tekanan darah normal, Aktif berkegiatan fisik;tidak berpotensi memiliki penyakit kardiovaskular;26866,28;232
2;Umur sekitar 55-63 tahun, Bukan peminum alkohol;berpotensi memiliki penyakit kardiovaskular;31188,08;231
2;Umur sekitar 51-58 tahun, Aktif berkegiatan fisik;berpotensi memiliki penyakit kardiovaskular;43328,26;230
2;Tekanan darah normal, Glukosa normal;tidak berpotensi memiliki penyakit kardiovaskular;17554;227
2;Umur sekitar 46-53 tahun, Kolestrol normal;tidak berpotensi memiliki penyakit kardiovaskular;26689;224
2;Umur sekitar 41-48 tahun, Aktif berkegiatan fisik;tidak berpotensi memiliki penyakit kardiovaskular;18568,6;223
2;Umur sekitar 41-48 tahun, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;19213;222
2;Umur sekitar 55-63 tahun, Bukan perokok aktif;berpotensi memiliki penyakit kardiovaskular;37281,51;220
2;Umur lebih dari 60 tahun, Bukan peminum alkohol;berpotensi memiliki penyakit kardiovaskular;23569,02;220
2;Umur sekitar 51-58 tahun, Bukan perokok aktif;berpotensi memiliki penyakit kardiovaskular;41870,57;217
2;Tidak aktif berkegiatan fisik, Prahipertensi;tidak berpotensi memiliki penyakit kardiovaskular;23998,4;215
2;Umur sekitar 51-58 tahun, Glukosa normal;berpotensi memiliki penyakit kardiovaskular;43865,61;214
2;Umur sekitar 55-63 tahun, Aktif berkegiatan fisik;berpotensi memiliki penyakit kardiovaskular;37700,21;214
2;Tekanan darah normal, Kolestrol normal;tidak berpotensi memiliki penyakit kardiovaskular;27143;213
2;Umur sekitar 55-63 tahun, Laki-Laki;berpotensi memiliki penyakit kardiovaskular;24425,69;212
2;Umur sekitar 51-58 tahun, Laki-Laki;berpotensi memiliki penyakit kardiovaskular;28159,08;210
2;Tidak aktif berkegiatan fisik, Perempuan;tidak berpotensi memiliki penyakit kardiovaskular;22916,77;210
2;Umur sekitar 55-63 tahun, Glukosa normal;berpotensi memiliki penyakit kardiovaskular;37460,22;209
2;Umur lebih dari 60 tahun, Bukan perokok aktif;berpotensi memiliki penyakit kardiovaskular;28269,64;208
2;Tidak aktif berkegiatan fisik, Perempuan;berpotensi memiliki penyakit kardiovaskular;24108,53;205
2;Umur lebih dari 60 tahun, Glukosa normal;berpotensi memiliki penyakit kardiovaskular;28533,06;198
2;Umur lebih dari 60 tahun, Aktif berkegiatan fisik;berpotensi memiliki penyakit kardiovaskular;28747,04;192
2;Umur sekitar 55-63 tahun, Bukan peminum alkohol;tidak berpotensi memiliki penyakit kardiovaskular;22157,03;185
2;BMI_Overweight, Prahipertensi;berpotensi memiliki penyakit kardiovaskular;21417,53;184
2;BMI_Overweight, Perempuan;berpotensi memiliki penyakit kardiovaskular;20798,54;184
2;Umur sekitar 55-63 tahun, Aktif berkegiatan fisik;tidak berpotensi memiliki penyakit kardiovaskular;32088,93;182
2;Umur sekitar 55-63 tahun, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;26481,12;182
2;Umur sekitar 51-58 tahun, Kolestrol normal;berpotensi memiliki penyakit kardiovaskular;43013,14;181
2;Umur sekitar 46-53 tahun, Perempuan;tidak berpotensi memiliki penyakit kardiovaskular;27666,81;181
2;Tidak aktif berkegiatan fisik, Prahipertensi;berpotensi memiliki penyakit kardiovaskular;22449,77;180
2;BMI_Overweight, Kolestrol normal;berpotensi memiliki penyakit kardiovaskular;20141;179
2;Umur sekitar 46-53 tahun, Prahipertensi;tidak berpotensi memiliki penyakit kardiovaskular;28573,03;176
2;Umur sekitar 55-63 tahun, Kolestrol normal;berpotensi memiliki penyakit kardiovaskular;36543,95;175
2;Umur sekitar 55-63 tahun, Glukosa normal;tidak berpotensi memiliki penyakit kardiovaskular;28587,12;171
2;BMI_Normal, Aktif berkegiatan fisik;tidak berpotensi memiliki penyakit kardiovaskular;23806,68;171
2;Tekanan darah normal, Perempuan;tidak berpotensi memiliki penyakit kardiovaskular;26916,38;170
2;Umur sekitar 51-58 tahun, Perempuan;berpotensi memiliki penyakit kardiovaskular;43096,97;164
2;BMI_Normal, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;24904;164
2;Umur sekitar 55-63 tahun, Prahipertensi;tidak berpotensi memiliki penyakit kardiovaskular;33868,36;162
2;Umur sekitar 55-63 tahun, Kolestrol normal;tidak berpotensi memiliki penyakit kardiovaskular;30549,13;158
2;Umur sekitar 41-48 tahun, Prahipertensi;tidak berpotensi memiliki penyakit kardiovaskular;18273,25;157
2;Umur lebih dari 60 tahun, Kolestrol normal;berpotensi memiliki penyakit kardiovaskular;26482,02;156
2;Umur sekitar 55-63 tahun, Perempuan;berpotensi memiliki penyakit kardiovaskular;34611,51;150
2;BMI_Normal, Kolestrol normal;tidak berpotensi memiliki penyakit kardiovaskular;20028;148
2;Umur sekitar 51-58 tahun, Prahipertensi;berpotensi memiliki penyakit kardiovaskular;41433,34;142
2;Umur sekitar 51-58 tahun, BMI_Obesitas_II;berpotensi memiliki penyakit kardiovaskular;24344,99;141
2;Umur lebih dari 60 tahun, Perempuan;berpotensi memiliki penyakit kardiovaskular;27538,36;140
2;Umur sekitar 55-63 tahun, Prahipertensi;berpotensi memiliki penyakit kardiovaskular;37085,72;134
2;Umur sekitar 55-63 tahun, BMI_Obesitas_II;berpotensi memiliki penyakit kardiovaskular;22773,3;131
3;Umur sekitar 51-58 tahun, Laki-Laki, Bukan peminum alkohol;berpotensi memiliki penyakit kardiovaskular;25366,06;130
2;Umur sekitar 55-63 tahun, Hipertensi tingkat 1;berpotensi memiliki penyakit kardiovaskular;23242,26;130
3;Umur sekitar 51-58 tahun, Laki-Laki, Aktif berkegiatan fisik;berpotensi memiliki penyakit kardiovaskular;22298,78;130
3;Umur sekitar 55-63 tahun, Laki-Laki, Bukan peminum alkohol;berpotensi memiliki penyakit kardiovaskular;21892,32;130
2;Umur sekitar 51-58 tahun, BMI_Obesitas;berpotensi memiliki penyakit kardiovaskular;28530,78;129
2;Umur sekitar 51-58 tahun, Hipertensi tingkat 1;berpotensi memiliki penyakit kardiovaskular;27384,62;129
2;Umur lebih dari 60 tahun, Prahipertensi;berpotensi memiliki penyakit kardiovaskular;28274,5;126
2;BMI_Normal, Prahipertensi;tidak berpotensi memiliki penyakit kardiovaskular;24078,53;124
2;Umur sekitar 55-63 tahun, BMI_Obesitas;berpotensi memiliki penyakit kardiovaskular;23970,17;121
3;Umur sekitar 55-63 tahun, Laki-Laki, Glukosa normal;berpotensi memiliki penyakit kardiovaskular;19964,88;121
3;Umur sekitar 51-58 tahun, Laki-Laki, Glukosa normal;berpotensi memiliki penyakit kardiovaskular;23777,63;120
2;Umur sekitar 55-63 tahun, Perempuan;tidak berpotensi memiliki penyakit kardiovaskular;31418,27;119
2;BMI_Obesitas_II, Aktif berkegiatan fisik;tidak berpotensi memiliki penyakit kardiovaskular;18837,84;118
2;Umur sekitar 51-58 tahun, Bukan peminum alkohol;tidak berpotensi memiliki penyakit kardiovaskular;34296,64;113
2;BMI_Normal, Perempuan;tidak berpotensi memiliki penyakit kardiovaskular;20436,74;113
2;BMI_Obesitas_II, Glukosa normal;tidak berpotensi memiliki penyakit kardiovaskular;18069,2;113
3;Umur sekitar 55-63 tahun, Laki-Laki, Bukan perokok aktif;berpotensi memiliki penyakit kardiovaskular;19936,16;109
2;Umur sekitar 51-58 tahun, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;40369;108
2;Umur sekitar 51-58 tahun, Aktif berkegiatan fisik;tidak berpotensi memiliki penyakit kardiovaskular;49211,74;107
2;Umur sekitar 51-58 tahun, Glukosa normal;tidak berpotensi memiliki penyakit kardiovaskular;45610,07;106
2;Umur sekitar 51-58 tahun, Laki-Laki;tidak berpotensi memiliki penyakit kardiovaskular;25279,37;106
2;BMI_Obesitas_II, Prahipertensi;tidak berpotensi memiliki penyakit kardiovaskular;26106,82;105
3;Umur sekitar 51-58 tahun, Laki-Laki, Kolestrol normal;berpotensi memiliki penyakit kardiovaskular;20371,59;105
3;Umur sekitar 51-58 tahun, Laki-Laki, Bukan perokok aktif;berpotensi memiliki penyakit kardiovaskular;22657,03;103
2;BMI_Obesitas_II, Kolestrol normal;tidak berpotensi memiliki penyakit kardiovaskular;22077,84;100
2;Umur sekitar 51-58 tahun, Prahipertensi;tidak berpotensi memiliki penyakit kardiovaskular;52628,2;97
2;BMI_Overweight, Glukosa normal;tidak berpotensi memiliki penyakit kardiovaskular;20129;94
2;BMI_Obesitas_II, Perempuan;tidak berpotensi memiliki penyakit kardiovaskular;23128,5;93
2;Hipertensi tingkat 1, Bukan peminum alkohol;berpotensi memiliki penyakit kardiovaskular;32410,52;92
2;BMI_Overweight, Aktif berkegiatan fisik;tidak berpotensi memiliki penyakit kardiovaskular;30333,4;92
2;Umur sekitar 51-58 tahun, Kolestrol normal;tidak berpotensi memiliki penyakit kardiovaskular;49508,73;91
2;Hipertensi tingkat 1, Aktif berkegiatan fisik;berpotensi memiliki penyakit kardiovaskular;43428,92;91
2;BMI_Overweight, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;32717;91
2;Hipertensi tingkat 1, Glukosa normal;berpotensi memiliki penyakit kardiovaskular;42473,98;89
2;Hipertensi tingkat 1, Laki-Laki;berpotensi memiliki penyakit kardiovaskular;27039,71;89
2;Hipertensi tingkat 1, Bukan perokok aktif;berpotensi memiliki penyakit kardiovaskular;39432,63;88
2;BMI_Overweight, Laki-Laki;tidak berpotensi memiliki penyakit kardiovaskular;19125,66;88
2;Umur sekitar 55-63 tahun, BMI_Obesitas;tidak berpotensi memiliki penyakit kardiovaskular;18230,67;86
2;Umur sekitar 51-58 tahun, BMI_Obesitas;tidak berpotensi memiliki penyakit kardiovaskular;29136,64;85
2;Umur sekitar 51-58 tahun, Perempuan;tidak berpotensi memiliki penyakit kardiovaskular;48990,27;82
2;BMI_Overweight, Kolestrol normal;tidak berpotensi memiliki penyakit kardiovaskular;25749;82
2;Hipertensi tingkat 1, Kolestrol normal;berpotensi memiliki penyakit kardiovaskular;39351,15;81
3;Umur sekitar 51-58 tahun, Hipertensi tingkat 1, Bukan peminum alkohol;berpotensi memiliki penyakit kardiovaskular;25754,86;80
2;BMI_Overweight, Prahipertensi;tidak berpotensi memiliki penyakit kardiovaskular;34690,22;79
3;Umur sekitar 55-63 tahun, Hipertensi tingkat 1, Bukan peminum alkohol;berpotensi memiliki penyakit kardiovaskular;21932,68;79
2;Hipertensi tingkat 1, Perempuan;berpotensi memiliki penyakit kardiovaskular;40052,46;78
3;Umur sekitar 55-63 tahun, Hipertensi tingkat 1, Bukan perokok aktif;berpotensi memiliki penyakit kardiovaskular;21285,38;78
3;Umur sekitar 51-58 tahun, Hipertensi tingkat 1, Aktif berkegiatan fisik;berpotensi memiliki penyakit kardiovaskular;22584,8;76
3;Umur sekitar 51-58 tahun, Hipertensi tingkat 1, Glukosa normal;berpotensi memiliki penyakit kardiovaskular;22849,5;75
3;Umur sekitar 51-58 tahun, Hipertensi tingkat 1, Bukan perokok aktif;berpotensi memiliki penyakit kardiovaskular;25022,28;72
2;BMI_Overweight, Umur sekitar 51-58 tahun;tidak berpotensi memiliki penyakit kardiovaskular;19843,4;69
2;Laki-Laki, Aktif berkegiatan fisik;berpotensi memiliki penyakit kardiovaskular;39609;64
2;Laki-Laki, Glukosa normal;berpotensi memiliki penyakit kardiovaskular;26944;64
2;Laki-Laki, Bukan peminum alkohol;berpotensi memiliki penyakit kardiovaskular;20066;64
2;BMI_Obesitas_II, Bukan perokok aktif;berpotensi memiliki penyakit kardiovaskular;26254,12;63
2;BMI_Obesitas_II, Aktif berkegiatan fisik;berpotensi memiliki penyakit kardiovaskular;24135,8;63
2;BMI_Obesitas, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;36347,2;62
2;Laki-Laki, Prahipertensi;berpotensi memiliki penyakit kardiovaskular;34715,26;62
2;BMI_Obesitas, Glukosa normal;berpotensi memiliki penyakit kardiovaskular;34566,56;62
2;Laki-Laki, Bukan perokok aktif;berpotensi memiliki penyakit kardiovaskular;33428;62
2;BMI_Overweight, Perempuan;tidak berpotensi memiliki penyakit kardiovaskular;29858,62;62
2;BMI_Obesitas, Bukan perokok aktif;berpotensi memiliki penyakit kardiovaskular;27945,48;62
2;BMI_Obesitas, Aktif berkegiatan fisik;tidak berpotensi memiliki penyakit kardiovaskular;42620,68;61
2;BMI_Obesitas, Aktif berkegiatan fisik;berpotensi memiliki penyakit kardiovaskular;34440,92;61
2;Laki-Laki, BMI_Obesitas;berpotensi memiliki penyakit kardiovaskular;27718,11;61
2;BMI_Obesitas, Laki-Laki;tidak berpotensi memiliki penyakit kardiovaskular;27199,77;61
2;Hipertensi tingkat 1, BMI_Obesitas_II;berpotensi memiliki penyakit kardiovaskular;26797,85;61
2;Laki-Laki, Kolestrol normal;berpotensi memiliki penyakit kardiovaskular;35301;60
2;BMI_Obesitas_II, Glukosa normal;berpotensi memiliki penyakit kardiovaskular;30850,04;60
3;Umur sekitar 51-58 tahun, Laki-Laki, Bukan peminum alkohol;tidak berpotensi memiliki penyakit kardiovaskular;22669,82;60
3;Umur sekitar 51-58 tahun, Laki-Laki, Aktif berkegiatan fisik;tidak berpotensi memiliki penyakit kardiovaskular;20788,57;60
2;BMI_Obesitas, Bukan peminum alkohol;tidak berpotensi memiliki penyakit kardiovaskular;17767,76;60
2;BMI_Obesitas, Kolestrol normal;tidak berpotensi memiliki penyakit kardiovaskular;42904,36;59
2;BMI_Obesitas, Glukosa normal;tidak berpotensi memiliki penyakit kardiovaskular;26353,96;59
3;Umur sekitar 55-63 tahun, BMI_Obesitas_II, Bukan perokok aktif;berpotensi memiliki penyakit kardiovaskular;21599,97;59
2;BMI_Obesitas_II, Kolestrol normal;berpotensi memiliki penyakit kardiovaskular;30561,9;58
2;BMI_Obesitas_II, Prahipertensi;berpotensi memiliki penyakit kardiovaskular;30153,55;58
3;Umur sekitar 51-58 tahun, BMI_Obesitas, Bukan peminum alkohol;berpotensi memiliki penyakit kardiovaskular;27031,02;58
3;Umur sekitar 51-58 tahun, BMI_Obesitas_II, Bukan peminum alkohol;berpotensi memiliki penyakit kardiovaskular;23094,8;58
2;BMI_Obesitas, Prahipertensi;berpotensi memiliki penyakit kardiovaskular;39092,15;57
2;Hipertensi tingkat 1, BMI_Obesitas;berpotensi memiliki penyakit kardiovaskular;25720,51;57
3;Umur sekitar 51-58 tahun, BMI_Obesitas, Aktif berkegiatan fisik;berpotensi memiliki penyakit kardiovaskular;22840,96;57
3;Umur sekitar 51-58 tahun, Laki-Laki, Glukosa normal;tidak berpotensi memiliki penyakit kardiovaskular;22503,17;57
3;Umur sekitar 55-63 tahun, BMI_Obesitas_II, Bukan peminum alkohol;berpotensi memiliki penyakit kardiovaskular;21702,41;57
2;BMI_Obesitas_II, Perempuan;berpotensi memiliki penyakit kardiovaskular;31744,98;56
3;Umur sekitar 51-58 tahun, BMI_Obesitas_II, Bukan perokok aktif;berpotensi memiliki penyakit kardiovaskular;22675,27;56
2;BMI_Obesitas, Kolestrol normal;berpotensi memiliki penyakit kardiovaskular;37309,56;55
2;BMI_Obesitas, Perempuan;berpotensi memiliki penyakit kardiovaskular;34078,36;55
3;Umur sekitar 55-63 tahun, BMI_Obesitas, Bukan peminum alkohol;berpotensi memiliki penyakit kardiovaskular;22792,42;55
3;Umur sekitar 51-58 tahun, BMI_Obesitas_II, Glukosa normal;berpotensi memiliki penyakit kardiovaskular;19314,32;55
2;BMI_Obesitas, Prahipertensi;tidak berpotensi memiliki penyakit kardiovaskular;48732,28;54
3;Umur sekitar 51-58 tahun, BMI_Obesitas, Bukan peminum alkohol;tidak berpotensi memiliki penyakit kardiovaskular;27681,86;54
3;Umur sekitar 51-58 tahun, BMI_Obesitas, Glukosa normal;berpotensi memiliki penyakit kardiovaskular;24610,54;54
3;Umur sekitar 51-58 tahun, Laki-Laki, Prahipertensi;tidak berpotensi memiliki penyakit kardiovaskular;20498;54
3;Umur sekitar 55-63 tahun, BMI_Obesitas, Bukan perokok aktif;berpotensi memiliki penyakit kardiovaskular;22107,46;53
3;Umur sekitar 51-58 tahun, BMI_Obesitas, Bukan perokok aktif;berpotensi memiliki penyakit kardiovaskular;26115,18;52
3;Umur sekitar 55-63 tahun, BMI_Obesitas, Glukosa normal;berpotensi memiliki penyakit kardiovaskular;19854,83;52
3;Umur sekitar 51-58 tahun, Laki-Laki, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;19774,99;52
3;Umur sekitar 51-58 tahun, BMI_Obesitas, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;26800,02;51
3;Umur sekitar 51-58 tahun, Laki-Laki, Kolestrol normal;tidak berpotensi memiliki penyakit kardiovaskular;21828,89;51
2;BMI_Obesitas, Perempuan;tidak berpotensi memiliki penyakit kardiovaskular;42897,71;50
3;Umur sekitar 51-58 tahun, BMI_Obesitas, Glukosa normal;tidak berpotensi memiliki penyakit kardiovaskular;26085,49;49
3;Hipertensi tingkat 1, Laki-Laki, Bukan peminum alkohol;berpotensi memiliki penyakit kardiovaskular;24241,98;48
3;Umur sekitar 51-58 tahun, BMI_Obesitas, Aktif berkegiatan fisik;tidak berpotensi memiliki penyakit kardiovaskular;23683,12;48
3;Umur sekitar 51-58 tahun, BMI_Obesitas, Kolestrol normal;berpotensi memiliki penyakit kardiovaskular;20836,32;48
3;BMI_Overweight, Umur sekitar 51-58 tahun, Bukan peminum alkohol;tidak berpotensi memiliki penyakit kardiovaskular;19025,52;48
3;Hipertensi tingkat 1, Laki-Laki, Glukosa normal;berpotensi memiliki penyakit kardiovaskular;23154,59;47
3;Hipertensi tingkat 1, Laki-Laki, Aktif berkegiatan fisik;berpotensi memiliki penyakit kardiovaskular;22189,21;47
3;Umur sekitar 51-58 tahun, BMI_Obesitas, Prahipertensi;tidak berpotensi memiliki penyakit kardiovaskular;23020,64;44
3;BMI_Overweight, Umur sekitar 51-58 tahun, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;18313,52;44
3;Umur sekitar 51-58 tahun, BMI_Obesitas, Kolestrol normal;tidak berpotensi memiliki penyakit kardiovaskular;24598,81;43
3;Hipertensi tingkat 1, Laki-Laki, Bukan perokok aktif;berpotensi memiliki penyakit kardiovaskular;21462,74;43
3;BMI_Overweight, Umur sekitar 51-58 tahun, Glukosa normal;tidak berpotensi memiliki penyakit kardiovaskular;18126,38;42
3;BMI_Overweight, Umur sekitar 51-58 tahun, Kolestrol normal;tidak berpotensi memiliki penyakit kardiovaskular;17508,02;37
3;Umur sekitar 51-58 tahun, BMI_Obesitas, Perempuan;tidak berpotensi memiliki penyakit kardiovaskular;19604,12;36
2;Perempuan, Prahipertensi;tidak berpotensi memiliki penyakit kardiovaskular;79352;32
2;Perempuan, Aktif berkegiatan fisik;tidak berpotensi memiliki penyakit kardiovaskular;74618,06;32
2;Perempuan, Glukosa normal;tidak berpotensi memiliki penyakit kardiovaskular;62007,32;32
2;Prahipertensi, Glukosa normal;berpotensi memiliki penyakit kardiovaskular;60027,07;32
2;Prahipertensi, Bukan perokok aktif;berpotensi memiliki penyakit kardiovaskular;52679,6;32
2;Laki-Laki, Prahipertensi;tidak berpotensi memiliki penyakit kardiovaskular;49713,14;32
2;Laki-Laki, Aktif berkegiatan fisik;tidak berpotensi memiliki penyakit kardiovaskular;42286,04;32
2;Laki-Laki, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;39309;32
2;Laki-Laki, Kolestrol normal;tidak berpotensi memiliki penyakit kardiovaskular;35761;32
2;Perempuan, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;29518,28;32
2;Laki-Laki, Bukan peminum alkohol;tidak berpotensi memiliki penyakit kardiovaskular;27919;32
3;Laki-Laki, BMI_Obesitas, Bukan peminum alkohol;berpotensi memiliki penyakit kardiovaskular;25568,48;32
3;Hipertensi tingkat 1, BMI_Obesitas_II, Bukan peminum alkohol;berpotensi memiliki penyakit kardiovaskular;25459,3;32
3;Hipertensi tingkat 1, BMI_Obesitas_II, Bukan perokok aktif;berpotensi memiliki penyakit kardiovaskular;24965,07;32
3;BMI_Obesitas, Laki-Laki, Bukan peminum alkohol;tidak berpotensi memiliki penyakit kardiovaskular;24553,32;32
3;Laki-Laki, BMI_Obesitas, Glukosa normal;berpotensi memiliki penyakit kardiovaskular;24065,7;32
3;BMI_Obesitas, Laki-Laki, Aktif berkegiatan fisik;tidak berpotensi memiliki penyakit kardiovaskular;22420,21;32
3;Laki-Laki, BMI_Obesitas, Aktif berkegiatan fisik;berpotensi memiliki penyakit kardiovaskular;22203,06;32
3;BMI_Obesitas_II, Prahipertensi, Aktif berkegiatan fisik;tidak berpotensi memiliki penyakit kardiovaskular;21729,79;32
3;Hipertensi tingkat 1, BMI_Obesitas_II, Aktif berkegiatan fisik;berpotensi memiliki penyakit kardiovaskular;21650,19;32
2;Laki-Laki, Glukosa normal;tidak berpotensi memiliki penyakit kardiovaskular;19368;32
2;Perempuan, Kolestrol normal;tidak berpotensi memiliki penyakit kardiovaskular;74489,26;31
2;Prahipertensi, Aktif berkegiatan fisik;berpotensi memiliki penyakit kardiovaskular;58297,69;31
2;Perempuan, Bukan peminum alkohol;tidak berpotensi memiliki penyakit kardiovaskular;49078,74;31
3;BMI_Obesitas, Perempuan, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;42264,4;31
3;Umur sekitar 51-58 tahun, Prahipertensi, Bukan peminum alkohol;berpotensi memiliki penyakit kardiovaskular;39811,82;31
2;Prahipertensi, Bukan peminum alkohol;berpotensi memiliki penyakit kardiovaskular;38188,04;31
3;BMI_Obesitas, Prahipertensi, Bukan peminum alkohol;berpotensi memiliki penyakit kardiovaskular;37714,98;31
3;BMI_Obesitas, Prahipertensi, Bukan perokok aktif;berpotensi memiliki penyakit kardiovaskular;36415,14;31
3;Umur sekitar 51-58 tahun, Prahipertensi, Glukosa normal;berpotensi memiliki penyakit kardiovaskular;35362,86;31
3;BMI_Obesitas, Prahipertensi, Glukosa normal;berpotensi memiliki penyakit kardiovaskular;34035,85;31
3;Umur sekitar 51-58 tahun, Prahipertensi, Aktif berkegiatan fisik;berpotensi memiliki penyakit kardiovaskular;32163,38;31
3;BMI_Obesitas_II, Prahipertensi, Bukan peminum alkohol;berpotensi memiliki penyakit kardiovaskular;28944,72;31
3;BMI_Obesitas_II, Prahipertensi, Bukan perokok aktif;berpotensi memiliki penyakit kardiovaskular;28573,3;31
3;Umur lebih dari 60 tahun, Prahipertensi, Bukan peminum alkohol;berpotensi memiliki penyakit kardiovaskular;27362,41;31
3;BMI_Obesitas, Laki-Laki, Glukosa normal;tidak berpotensi memiliki penyakit kardiovaskular;24651,22;31
3;BMI_Obesitas_II, Prahipertensi, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;24432,39;31
3;Hipertensi tingkat 1, BMI_Obesitas, Bukan peminum alkohol;berpotensi memiliki penyakit kardiovaskular;24337,74;31
3;BMI_Obesitas, Laki-Laki, Kolestrol normal;tidak berpotensi memiliki penyakit kardiovaskular;23827,31;31
3;BMI_Obesitas_II, Prahipertensi, Aktif berkegiatan fisik;berpotensi memiliki penyakit kardiovaskular;23353,49;31
3;Laki-Laki, BMI_Obesitas, Bukan perokok aktif;berpotensi memiliki penyakit kardiovaskular;22798,29;31
3;BMI_Obesitas_II, Prahipertensi, Glukosa normal;tidak berpotensi memiliki penyakit kardiovaskular;22455,26;31
3;BMI_Obesitas, Laki-Laki, Bukan perokok aktif;tidak berpotensi memiliki penyakit kardiovaskular;21808,4;31
3;Hipertensi tingkat 1, BMI_Obesitas, Aktif berkegiatan fisik;berpotensi memiliki penyakit kardiovaskular;21272,91;31
3;BMI_Normal, Prahipertensi, Aktif berkegiatan fisik;tidak berpotensi memiliki penyakit kardiovaskular;19996,13;31
3;BMI_Overweight, Laki-Laki, Bukan peminum alkohol;tidak berpotensi memiliki penyakit kardiovaskular;17601,16;31
2;Prahipertensi, Kolestrol normal;berpotensi memiliki penyakit kardiovaskular;64083,39;30
3;Umur sekitar 51-58 tahun, Perempuan, Bukan peminum alkohol;tidak berpotensi memiliki penyakit kardiovaskular;47967,68;30
